Row ID,Date,Fills,Latitude,Longitude
1,08/11/2016,1,-37.802,145.042
2,12/06/2016,2,-37.802,145.042
3,11/10/2015,2,-37.802,145.042
4,11/10/2015,0,-37.802,145.042
5,09/06/2014,3,-37.802,145.042
6,09/06/2014,3,-37.802,145.042
7,09/06/2014,1,-37.802,145.042
8,09/06/2014,1,-37.802,145.042
9,09/06/2014,0,-37.802,145.042
10,09/06/2014,1,-37.802,145.042
11,09/06/2014,0,-37.802,145.042
12,15/04/2017,2,-37.802,145.042
13,05/12/2016,1,-37.802,145.042
14,22/11/2015,0,-37.802,145.042
15,22/11/2015,1,-37.802,145.042
16,11/11/2014,0,-37.802,145.042
17,13/05/2014,1,-37.802,145.042
18,27/08/2014,3,-37.802,145.042
19,27/08/2014,2,-37.802,145.042
20,27/08/2014,2,-37.802,145.042
21,09/12/2016,0,-37.802,145.042
22,09/12/2016,2,-37.802,145.042
23,16/07/2017,2,-37.802,145.042
24,25/09/2015,2,-37.802,145.042
25,16/01/2016,1,-37.802,145.042
26,16/01/2016,3,-37.802,145.042
27,17/09/2015,3,-37.802,145.042
28,17/09/2015,0,-37.802,145.042
29,17/09/2015,0,-37.802,145.042
30,17/09/2015,2,-37.802,145.042
31,17/09/2015,2,-37.802,145.042
32,17/09/2015,3,-37.802,145.042
33,17/09/2015,1,-37.802,145.042
34,19/10/2017,3,-37.802,145.042
35,08/12/2016,3,-37.802,145.042
36,08/12/2016,2,-37.802,145.042
37,27/12/2015,3,-37.802,145.042
38,27/12/2015,3,-37.802,145.042
39,27/12/2015,0,-37.802,145.042
40,27/12/2015,1,-37.802,145.042
41,10/09/2017,0,-37.802,145.042
42,17/07/2016,0,-37.802,145.042
43,19/09/2017,2,-37.802,145.042
44,11/03/2016,3,-37.802,145.042
45,11/03/2016,3,-37.802,145.042
46,20/10/2014,3,-37.802,145.042
47,20/06/2016,2,-37.802,145.042
48,20/06/2016,0,-37.802,145.042
49,18/04/2015,1,-37.802,145.042
50,18/04/2015,1,-37.802,145.042
51,18/04/2015,0,-37.802,145.042
52,18/04/2015,3,-37.802,145.042
53,11/12/2016,3,-37.802,145.042
54,11/12/2016,3,-37.802,145.042
55,17/06/2016,3,-37.802,145.042
56,17/06/2016,0,-37.802,145.042
57,17/06/2016,0,-37.802,145.042
58,17/06/2016,3,-37.802,145.042
59,17/06/2016,3,-37.802,145.042
60,17/06/2016,0,-37.802,145.042
61,17/06/2016,1,-37.802,145.042
62,24/11/2015,1,-37.802,145.042
63,24/11/2015,3,-37.802,145.042
64,24/11/2015,3,-37.802,145.042
65,24/11/2015,2,-37.802,145.042
66,30/04/2015,3,-37.802,145.042
67,05/12/2014,1,-37.802,145.042
68,05/12/2014,0,-37.802,145.042
69,04/06/2016,2,-37.802,145.042
70,18/09/2016,2,-37.802,145.042
71,14/09/2017,3,-37.802,145.042
72,26/04/2015,1,-37.802,145.042
73,26/04/2015,2,-37.802,145.042
74,26/04/2015,0,-37.802,145.042
75,09/12/2017,1,-37.802,145.042
76,09/12/2017,2,-37.802,145.042
77,09/12/2017,0,-37.802,145.042
78,26/11/2014,2,-37.802,145.042
79,12/06/2016,0,-37.802,145.042
80,12/06/2016,0,-37.802,145.042
81,12/10/2014,3,-37.802,145.042
82,12/10/2014,1,-37.802,145.042
83,03/09/2015,3,-37.802,145.042
84,13/11/2017,0,-37.802,145.042
85,28/05/2017,1,-37.802,145.042
86,26/10/2017,0,-37.802,145.042
87,26/10/2017,3,-37.802,145.042
88,05/04/2016,0,-37.802,145.042
89,17/09/2016,0,-37.802,145.042
90,17/09/2016,1,-37.802,145.042
91,17/09/2016,0,-37.802,145.042
92,31/01/2015,0,-37.802,145.042
93,31/01/2015,0,-37.802,145.042
94,31/01/2015,0,-37.802,145.042
95,06/11/2017,0,-37.802,145.042
96,09/11/2017,3,-37.802,145.042
97,17/06/2017,0,-37.802,145.042
98,06/09/2016,3,-37.802,145.042
99,29/08/2016,1,-37.802,145.042
100,29/08/2016,3,-37.802,145.042
101,29/08/2016,3,-37.802,145.042
102,01/12/2016,3,-37.802,145.042
103,13/11/2015,1,-37.802,145.042
104,13/11/2015,1,-37.802,145.042
105,13/11/2015,0,-37.802,145.042
106,23/11/2017,0,-37.802,145.042
107,23/11/2017,0,-37.802,145.042
108,23/11/2017,2,-37.802,145.042
109,15/10/2015,1,-37.802,145.042
110,25/12/2017,0,-37.802,145.042
111,03/11/2016,2,-37.802,145.042
112,03/11/2016,2,-37.802,145.042
113,25/08/2014,0,-37.802,145.042
114,25/08/2014,1,-37.802,145.042
115,25/08/2014,1,-37.802,145.042
116,25/08/2014,1,-37.802,145.042
117,02/03/2015,0,-37.802,145.042
118,05/04/2015,1,-37.802,145.042
119,12/06/2016,0,-37.802,145.042
120,12/06/2016,0,-37.802,145.042
121,12/06/2016,1,-37.802,145.042
122,12/06/2016,1,-37.802,145.042
123,12/06/2016,3,-37.802,145.042
124,26/12/2014,0,-37.802,145.042
125,20/09/2014,1,-37.802,145.042
126,05/11/2017,1,-37.802,145.042
127,05/11/2017,3,-37.802,145.042
128,06/11/2016,1,-37.802,145.042
129,06/11/2016,3,-37.802,145.042
130,02/02/2017,3,-37.802,145.042
131,02/02/2017,2,-37.802,145.042
132,02/02/2017,2,-37.802,145.042
133,13/10/2016,1,-37.802,145.042
134,13/10/2016,2,-37.802,145.042
135,13/10/2016,3,-37.802,145.042
136,13/10/2016,1,-37.802,145.042
137,13/10/2016,1,-37.802,145.042
138,13/10/2016,1,-37.802,145.042
139,13/10/2016,1,-37.802,145.042
140,05/09/2016,0,-37.802,145.042
141,18/09/2017,0,-37.802,145.042
142,18/09/2017,1,-37.802,145.042
143,18/09/2017,2,-37.802,145.042
144,22/12/2017,0,-37.802,145.042
145,07/09/2015,1,-37.802,145.042
146,22/10/2014,3,-37.802,145.042
147,05/12/2016,3,-37.802,145.042
148,05/12/2016,2,-37.802,145.042
149,05/12/2016,3,-37.802,145.042
150,05/12/2016,0,-37.802,145.042
151,13/03/2016,1,-37.802,145.042
152,13/03/2016,2,-37.802,145.042
153,31/05/2015,1,-37.802,145.042
154,31/05/2015,2,-37.802,145.042
155,31/05/2015,1,-37.802,145.042
156,28/05/2015,3,-37.802,145.042
157,01/03/2014,2,-37.802,145.042
158,20/11/2016,3,-37.802,145.042
159,20/11/2016,2,-37.802,145.042
160,11/05/2016,2,-37.802,145.042
161,28/12/2015,0,-37.802,145.042
162,16/11/2016,0,-37.802,145.042
163,07/11/2016,2,-37.802,145.042
164,08/09/2014,0,-37.802,145.042
165,08/09/2014,3,-37.802,145.042
166,08/09/2014,0,-37.802,145.042
167,08/09/2014,1,-37.802,145.042
168,08/09/2014,3,-37.802,145.042
169,08/09/2014,0,-37.802,145.042
170,08/09/2014,0,-37.802,145.042
171,05/08/2014,1,-37.802,145.042
172,05/08/2014,0,-37.802,145.042
173,05/08/2014,3,-37.802,145.042
174,14/09/2014,1,-37.802,145.042
175,14/09/2014,3,-37.802,145.042
176,21/04/2017,0,-37.802,145.042
177,21/11/2015,1,-37.802,145.042
178,21/11/2015,2,-37.802,145.042
179,15/12/2015,2,-37.802,145.042
180,05/12/2014,0,-37.802,145.042
181,05/12/2014,2,-37.802,145.042
182,19/11/2014,0,-37.802,145.042
183,19/11/2014,2,-37.802,145.042
184,19/11/2014,1,-37.802,145.042
185,28/11/2016,1,-37.802,145.042
186,26/08/2014,0,-37.802,145.042
187,16/07/2016,0,-37.802,145.042
188,16/07/2016,0,-37.802,145.042
189,12/10/2015,0,-37.802,145.042
190,12/10/2015,0,-37.802,145.042
191,12/10/2015,2,-37.802,145.042
192,12/10/2015,1,-37.802,145.042
193,12/10/2015,3,-37.802,145.042
194,31/10/2015,2,-37.802,145.042
195,21/03/2014,2,-37.802,145.042
196,21/03/2014,1,-37.802,145.042
197,06/11/2017,1,-37.802,145.042
198,06/07/2017,0,-37.802,145.042
199,06/07/2017,3,-37.802,145.042
200,24/06/2017,3,-37.802,145.042
201,03/08/2014,2,-37.802,145.042
202,03/08/2014,0,-37.802,145.042
203,17/12/2017,2,-37.802,145.042
204,03/06/2017,2,-37.802,145.042
205,09/12/2017,3,-37.802,145.042
206,01/12/2017,1,-37.802,145.042
207,01/12/2017,3,-37.802,145.042
208,01/12/2017,2,-37.802,145.042
209,01/12/2017,0,-37.802,145.042
210,01/12/2017,2,-37.802,145.042
211,09/02/2015,1,-37.802,145.042
212,02/01/2015,3,-37.802,145.042
213,02/01/2015,3,-37.802,145.042
214,02/01/2015,1,-37.802,145.042
215,02/01/2015,1,-37.802,145.042
216,02/01/2015,0,-37.802,145.042
217,28/10/2016,1,-37.802,145.042
218,28/10/2016,3,-37.802,145.042
219,24/12/2015,3,-37.802,145.042
220,24/12/2015,2,-37.802,145.042
221,24/12/2015,0,-37.802,145.042
222,24/12/2015,0,-37.802,145.042
223,24/12/2015,0,-37.802,145.042
224,24/12/2015,3,-37.802,145.042
225,09/08/2015,2,-37.802,145.042
226,09/08/2015,2,-37.802,145.042
227,09/08/2015,0,-37.802,145.042
228,28/02/2015,1,-37.802,145.042
229,28/02/2015,0,-37.802,145.042
230,13/09/2014,2,-37.802,145.042
231,07/04/2017,1,-37.802,145.042
232,07/04/2017,2,-37.802,145.042
233,07/04/2017,2,-37.802,145.042
234,07/04/2017,0,-37.802,145.042
235,07/04/2017,1,-37.802,145.042
236,12/11/2017,3,-37.802,145.042
237,04/06/2016,0,-37.802,145.042
238,04/06/2016,0,-37.802,145.042
239,04/06/2016,2,-37.802,145.042
240,04/06/2016,1,-37.802,145.042
241,04/06/2016,2,-37.802,145.042
242,04/06/2016,1,-37.802,145.042
243,04/06/2016,1,-37.802,145.042
244,01/06/2014,3,-37.802,145.042
245,01/06/2014,2,-37.802,145.042
246,01/06/2014,0,-37.802,145.042
